# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_1.data.R
# init = 2 (Default)
# random
#   seed = 1286197944 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_1.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,p_strength,p_strength_m_log,p_strength_sd_log,g_strength,g_strength_m_log,g_strength_sd_log
-2873.58,0.939052,0.305326,3,7,0,2874.66,360.118,5.57113,-1.32316,-0.385332,-2.18548,-0.446248,2.57857,-3.87526,-1.13565
-2871.85,0.897214,0.305326,3,7,0,2874.52,359.624,5.82984,-1.78064,-1.42985,2.71775,-0.504256,2.17639,-1.11443,0.0611638
-2869.22,0.865905,0.305326,3,11,0,2872.41,356.845,5.78145,-0.567963,-2.28084,-0.354395,0.775633,-0.0515959,0.482965,0.538069
-2869.23,0.996361,0.305326,2,7,0,2869.51,356.999,5.6032,-1.17758,0.130168,0.0590665,-0.853628,0.0788332,-2.29038,-0.486367
-2871.74,0.814613,0.305326,3,11,0,2871.82,355.088,5.25992,0.689795,-0.195668,0.387674,-0.308398,-1.45743,0.105776,1.8989
-2872.05,0.976184,0.305326,3,15,0,2873.45,355.287,4.37506,-0.188181,-0.845424,1.76639,1.03502,-1.29269,-2.80728,-2.44039
-2871.06,0.991415,0.305326,3,15,0,2872.54,358.34,6.19838,0.142718,-0.910547,-1.76233,1.0534,1.14341,1.43658,1.07792
-2869.8,1,0.305326,3,7,0,2871.23,357.29,5.19894,-0.664092,-1.16406,-1.39407,-0.880421,0.311073,-2.36604,-1.22845
-2869.39,0.962302,0.305326,4,15,0,2871.54,356.637,5.65109,-0.260008,-1.37104,2.36896,-0.126217,-0.217525,0.271567,0.685414
-2871.04,0.964472,0.305326,3,7,0,2871.28,357.486,6.45135,0.362342,-0.453558,-0.807974,0.0629217,0.460206,1.72859,1.27804
-2869.15,0.988644,0.305326,3,15,0,2871.79,357.081,5.63952,-1.1398,-0.507611,-3.49123,-0.635762,0.14302,-1.69073,-0.235747
-2869.89,0.981911,0.305326,2,7,0,2870.81,355.489,5.68396,-0.917422,1.17736,-0.666697,-0.366688,-1.13389,-0.50332,0.174517
-2869.84,0.998761,0.305326,3,15,0,2870.17,355.577,5.70493,-0.727271,-0.419175,-0.181143,-0.784461,-1.06432,-0.0179958,0.361189
