# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# start_datetime = 2022-09-16 08:52:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_1.data.R
# init = 2 (Default)
# random
#   seed = 1286197944 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_1.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,strength_post_pred
# Adaptation terminated
# Step size = 0.305326
# Diagonal elements of inverse mass matrix:
# 1.13052, 0.385089, 0.741755
-2871.74,0.980916,0.305326,3,15,0,2873.33,356.923,4.20951,2.93384,222.45
-2871.93,0.992459,0.305326,3,7,0,2872.84,357.623,3.96212,2.57649,2.17265
-2870.28,0.974238,0.305326,4,15,0,2872.64,356.661,6.22028,0.253025,614.554
-2871.76,0.843235,0.305326,3,11,0,2873.1,358.362,5.12069,2.53162,1159.23
-2869.24,0.996508,0.305326,4,15,0,2872.12,355.906,5.84729,0.0739004,330.805
-2869.24,6.84044e-05,0.305326,2,5,0,2872.01,355.906,5.84729,0.0739004,369.085
-2869.24,0.453585,0.305326,1,3,0,2870.15,355.906,5.84729,0.0739004,337.38
-2868.88,0.503111,0.305326,3,15,0,2869.97,356.364,5.87439,0.0398413,349.031
-2868.88,1.2281e-70,0.305326,1,1,0,2871.32,356.364,5.87439,0.0398413,368.288
-2868.88,4.83312e-45,0.305326,1,1,0,2869.63,356.364,5.87439,0.0398413,358.601
-2869.12,0.186362,0.305326,1,3,1,2870.03,356.32,5.90263,0.0431282,387.111
-2868.88,0.333333,0.305326,1,3,1,2869.01,356.421,5.86582,0.0468974,346.387
-2868.78,0.201152,0.305326,2,5,1,2871.42,357.1,5.88163,0.036435,386.298
-2868.78,0,0.305326,1,1,0,2872.93,357.1,5.88163,0.036435,341.989
-2868.78,1.74214e-12,0.305326,1,1,0,2868.93,357.1,5.88163,0.036435,345.053
-2868.78,3.00673e-175,0.305326,1,1,0,2871.58,357.1,5.88163,0.036435,355.846
-2868.85,0.25695,0.305326,1,2,1,2869.56,357.042,5.86299,0.0329469,343.807
-2868.85,0,0.305326,0,1,1,2870.56,357.042,5.86299,0.0329469,354.054
-2868.85,0,0.305326,0,1,1,2872.3,357.042,5.86299,0.0329469,344.53
-2868.85,2.54101e-244,0.305326,1,1,0,2871.71,357.042,5.86299,0.0329469,345.837
-2868.85,4.37322e-45,0.305326,2,5,1,2870.17,357.042,5.86299,0.0329469,353.413
-2868.85,0,0.305326,0,1,1,2870.31,357.042,5.86299,0.0329469,340.771
-2868.85,1.74845e-19,0.305326,1,1,0,2871.91,357.042,5.86299,0.0329469,355.358
-2868.85,0,0.305326,0,1,1,2870.1,357.042,5.86299,0.0329469,372.966
-2868.85,6.134e-74,0.305326,2,3,0,2869.68,357.042,5.86299,0.0329469,339.402
-2868.85,6.00098e-227,0.305326,1,1,0,2872.37,357.042,5.86299,0.0329469,359.827
-2868.85,4.88516e-60,0.305326,1,3,1,2869.07,357.042,5.86299,0.0329469,334.9
-2868.85,2.69027e-05,0.305326,1,1,0,2871.04,357.042,5.86299,0.0329469,338.793
-2868.85,9.54626e-113,0.305326,1,2,1,2869.14,357.042,5.86299,0.0329469,324.681
-2868.85,0.000783399,0.305326,1,1,0,2869.88,357.042,5.86299,0.0329469,357.838
-2868.85,2.56746e-65,0.305326,1,3,1,2871.61,357.042,5.86299,0.0329469,352.534
-2868.85,0.00909406,0.305326,1,3,1,2871.39,357.042,5.86299,0.0329469,349.465
-2868.85,5.16887e-07,0.305326,1,2,1,2869.62,357.042,5.86299,0.0329469,365.932
-2868.85,1.05933e-09,0.305326,1,2,1,2869.54,357.042,5.86299,0.0329469,336.812
-2868.85,1.23141e-08,0.305326,1,1,0,2870.16,357.042,5.86299,0.0329469,343.044
-2868.85,0,0.305326,1,1,0,2870.52,357.042,5.86299,0.0329469,352.378
-2868.85,0,0.305326,0,1,1,2870.12,357.042,5.86299,0.0329469,345.259
-2868.85,0,0.305326,0,1,1,2875.56,357.042,5.86299,0.0329469,356.08
-2868.85,1.37984e-43,0.305326,1,3,1,2872.14,357.042,5.86299,0.0329469,350.55
-2868.85,1.5337e-121,0.305326,1,1,0,2869.36,357.042,5.86299,0.0329469,352.772
-2868.85,1.48664e-184,0.305326,1,1,0,2869.36,357.042,5.86299,0.0329469,363.706
-2868.85,1.57701e-07,0.305326,1,3,1,2869.3,357.042,5.86299,0.0329469,341.623
-2868.85,0,0.305326,0,1,1,2871.55,357.042,5.86299,0.0329469,335.077
-2868.85,3.48757e-146,0.305326,1,1,0,2872.14,357.042,5.86299,0.0329469,345.095
-2868.85,1.29677e-21,0.305326,1,3,1,2869.13,357.042,5.86299,0.0329469,335.729
-2868.85,1.21317e-280,0.305326,1,1,0,2869.18,357.042,5.86299,0.0329469,334.395
-2868.85,2.88252e-144,0.305326,1,1,0,2869.09,357.042,5.86299,0.0329469,338.829
-2868.85,1.74771e-66,0.305326,1,1,0,2870.96,357.042,5.86299,0.0329469,348.532
-2868.85,0.000319987,0.305326,1,2,1,2869.89,357.042,5.86299,0.0329469,378.328
