# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# start_datetime = 2022-09-16 08:52:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_3.data.R
# init = 2 (Default)
# random
#   seed = 1286198000 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_3.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_3.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,strength_post_pred
# Adaptation terminated
# Step size = 0.361486
# Diagonal elements of inverse mass matrix:
# 1.12195, 0.527609, 0.581203
-2869.78,0.976806,0.361486,2,5,0,2870.55,356.929,5.29564,1.29833,68.1055
-2870.79,0.987632,0.361486,3,7,0,2871.3,357.336,4.85962,2.27186,287.234
-2870.72,0.994526,0.361486,3,7,0,2871.79,358.07,4.64528,0.96148,212.938
-2873.26,0.976053,0.361486,3,7,0,2875.26,357.299,6.97175,0.496325,701.469
-2870.36,1,0.361486,4,15,0,2873.2,357.086,4.54613,1.53586,417.28
-2870.8,0.927286,0.361486,2,7,0,2874.69,356.052,5.93967,1.72372,77.1069
-2869.79,0.997103,0.361486,3,7,0,2871.28,356.022,5.23392,0.73655,204.206
-2870.87,0.872761,0.361486,2,7,0,2874.24,356.75,5.06646,0.393013,388.683
-2869.75,1,0.361486,2,7,0,2871.79,356.747,4.9901,1.04433,23.1825
-2869.49,0.981095,0.361486,3,7,0,2870.35,357.719,5.89856,0.491153,245.077
-2870.23,0.957241,0.361486,4,15,0,2871.19,357.221,4.72009,1.53602,108.944
-2872.09,0.919283,0.361486,3,7,0,2874.67,358.103,6.7991,0.694335,1264.95
-2871.27,0.94892,0.361486,3,7,0,2874.5,355.297,4.61829,1.43699,21.3525
-2871.32,0.71328,0.361486,4,15,0,2872.24,358.99,6.13572,0.341341,771.239
-2873.01,0.284721,0.361486,3,15,0,2875.4,357.899,5.43466,0.156881,177.56
-2869.35,0.762493,0.361486,2,3,0,2873.77,357.314,5.74576,0.65414,396.659
-2869.42,0.717609,0.361486,3,15,1,2869.69,357.33,5.60748,0.767949,891.072
-2869.75,0.993186,0.361486,3,7,0,2869.8,357.334,5.2097,0.534727,255.104
-2871.01,0.982241,0.361486,3,7,0,2871.46,358.685,5.5945,1.20537,47.1592
-2869.94,0.976823,0.361486,3,7,0,2872.55,357.766,5.53279,0.257244,351.913
-2868.99,0.946163,0.361486,3,7,0,2870.35,357.05,5.90873,0.223246,407.608
-2869.13,0.615724,0.361486,2,7,0,2869.56,357.073,5.95642,0.290721,349.285
-2869.18,0.948849,0.361486,3,9,0,2870.16,357.556,5.7767,0.328223,371.628
-2871.54,0.725833,0.361486,3,15,0,2874.38,358.365,5.21943,0.330377,206.953
-2870.14,0.997772,0.361486,3,7,0,2871.71,358.233,5.37362,0.484174,189.722
-2870.91,0.929244,0.361486,3,7,0,2871.61,356.898,5.96427,2.10673,13.8328
-2869.7,0.986453,0.361486,3,7,0,2871.64,357.736,5.30264,0.628598,241.385
-2870.35,0.984605,0.361486,3,7,0,2871.07,355.256,5.90209,0.512904,473.228
-2870.36,0.998797,0.361486,2,3,0,2870.55,355.228,5.80233,0.559628,229.539
-2871.86,0.91302,0.361486,4,15,0,2872.83,356.197,6.27172,0.183519,617.757
-2869.91,0.714286,0.361486,2,7,0,2873.21,356.272,5.0494,1.15204,216.857
-2870.41,0.973611,0.361486,3,15,0,2870.98,356.118,6.2621,0.947109,194.331
-2870.7,0.965428,0.361486,3,11,0,2873.31,358.755,5.98555,0.500957,724.207
-2871.93,0.968682,0.361486,2,3,0,2872.2,359.143,5.38168,0.322671,301.534
-2870.3,0.872943,0.361486,3,15,0,2873.33,357.812,6.11964,0.186521,380.843
-2869.35,0.726241,0.361486,2,5,0,2872.05,356.911,5.43776,0.461707,470.245
-2870.43,0.946249,0.361486,3,7,0,2870.98,358.854,5.824,0.204765,445.548
-2871.16,0.394279,0.361486,2,3,0,2872.03,358.42,6.06669,0.118219,431.852
-2871.9,0.0872488,0.361486,3,12,1,2873.96,359.266,5.75302,0.094289,289.926
-2871.9,6.22506e-15,0.361486,2,6,1,2874.07,359.266,5.75302,0.094289,283.543
-2871.9,5.94146e-12,0.361486,1,1,0,2872.07,359.266,5.75302,0.094289,341.945
-2871.9,0.333333,0.361486,1,3,0,2872.98,359.266,5.75302,0.094289,340.493
-2871.9,0.0823829,0.361486,2,6,1,2879.67,359.266,5.75302,0.094289,316.049
-2871.91,0.333337,0.361486,2,3,0,2872.28,359.304,6.00343,0.102712,429.567
-2871.91,0.00740154,0.361486,2,3,0,2872.19,359.304,6.00343,0.102712,403.169
-2871.91,0.00719647,0.361486,2,3,0,2872.26,359.304,6.00343,0.102712,421.288
-2871.91,0.00975352,0.361486,2,5,1,2876.69,359.304,6.00343,0.102712,445.131
-2871.91,1.999e-45,0.361486,1,1,0,2874.24,359.304,6.00343,0.102712,371.508
-2871.91,0.0670133,0.361486,2,3,0,2874.8,359.304,6.00343,0.102712,338.391
-2871.91,0.0019684,0.361486,3,7,0,2873.59,359.304,6.00343,0.102712,384.651
-2871.91,3.50832e-39,0.361486,1,1,0,2874.59,359.304,6.00343,0.102712,380.869
-2871.91,0.000603588,0.361486,3,7,0,2872.17,359.304,6.00343,0.102712,354.849
-2871.91,4.42155e-15,0.361486,2,3,0,2873.94,359.304,6.00343,0.102712,362.594
-2871.91,0.00229183,0.361486,2,3,0,2871.98,359.304,6.00343,0.102712,477.155
-2871.91,0.00380612,0.361486,2,5,0,2872.95,359.304,6.00343,0.102712,411.468
-2871.91,7.73489e-59,0.361486,1,1,0,2874.29,359.304,6.00343,0.102712,415.975
-2871.91,0.00165215,0.361486,2,7,1,2871.98,359.304,6.00343,0.102712,395.7
-2869.01,1,0.361486,3,15,0,2871.7,356.611,5.76401,0.225402,329.355
-2869.52,0.96449,0.361486,2,7,0,2869.87,357.919,5.97085,0.219825,383.475
-2870.22,0.887488,0.361486,4,15,0,2870.63,355.506,5.82352,0.755397,119.048
-2870.31,0.961891,0.361486,3,7,0,2872.48,356.609,6.35484,0.8691,341.534
-2870.28,0.996025,0.361486,4,15,0,2870.91,356.155,5.98749,1.22579,47.4879
-2870,0.993966,0.361486,3,7,0,2870.58,355.771,5.75988,0.844537,318.054
-2870.01,0.979159,0.361486,2,7,0,2871.16,355.555,5.48104,0.631595,740.158
-2870.09,0.67126,0.361486,2,7,0,2871.85,356.283,5.07669,1.4459,59.3676
-2869.94,0.981882,0.361486,3,11,0,2871.34,357.916,6.06476,0.197375,234.879
-2870.27,0.369744,0.361486,3,7,0,2871.9,356.172,6.31002,0.60565,265.802
-2871.28,0.941678,0.361486,3,7,0,2872.38,355.296,4.55574,1.18285,27.7261
-2872.54,0.956177,0.361486,2,3,0,2873.64,354.687,4.32857,1.33695,49.9167
-2872.76,0.970159,0.361486,3,7,0,2873.78,354.612,4.88594,2.20239,112.036
-2871.2,1,0.361486,3,7,0,2873.32,355.922,4.26822,1.06615,266.199
-2870.14,0.971775,0.361486,3,7,0,2871.96,357.48,5.54836,1.49812,122.547
-2870.91,0.988422,0.361486,3,7,0,2871.38,355.287,5.16596,0.498271,222.602
-2870.63,1,0.361486,1,1,0,2870.9,355.385,5.19678,0.52825,182.985
-2870.65,0.579413,0.361486,2,3,0,2873.26,354.935,5.95759,0.190224,316.732
-2871.15,0.344819,0.361486,1,3,0,2873.05,354.951,6.12774,0.318231,261.791
-2871.15,0.724121,0.361486,1,1,0,2872.07,354.951,6.12774,0.318231,499.335
-2870.65,0.958612,0.361486,2,3,0,2871.74,355.644,5.41733,0.283113,169.558
-2871.38,0.420306,0.361486,3,7,0,2875.05,357.838,6.57445,1.32923,1998.85
-2871,0.999435,0.361486,3,7,0,2871.83,357.431,6.54667,1.21155,2266.72
-2870.08,0.980631,0.361486,2,7,0,2871.53,356.266,6.19665,0.772724,2187.6
-2870.18,0.978957,0.361486,2,7,0,2871.86,358.296,5.36752,0.812874,147.191
-2870.03,0.705687,0.361486,3,15,0,2870.81,357.299,5.27631,1.51495,34.4718
-2870.62,0.965687,0.361486,3,15,0,2872.62,357.542,4.78564,1.94363,823.439
-2870.97,0.859443,0.361486,3,15,0,2872.19,355.614,4.6082,1.55527,614.662
-2869.86,0.966237,0.361486,2,7,0,2873.15,357.175,4.93352,0.798673,144.258
-2870.3,1,0.361486,3,7,0,2870.52,357.296,4.64628,1.51122,32.5868
-2871.27,0.960466,0.361486,2,3,0,2871.43,357.539,4.24454,0.924695,32.7487
-2870.67,0.906859,0.361486,3,7,0,2872.81,357.044,6.12779,1.68114,588.403
-2872.36,0.982852,0.361486,3,7,0,2872.88,358.223,6.89975,1.11794,1818.5
-2873.69,0.984561,0.361486,3,7,0,2874.51,359.334,6.54522,1.74349,2603.69
-2873.26,0.957577,0.361486,3,7,0,2875.4,355.251,5.33678,0.200831,246.733
-2870.16,0.965492,0.361486,2,3,0,2871.96,355.269,5.72124,0.198815,323.47
-2872.02,0.999871,0.361486,3,7,0,2873.13,354.429,5.81534,0.887536,57.9587
-2869.96,0.972077,0.361486,3,7,0,2872.27,355.502,5.59546,0.368445,248.092
-2869.09,0.360684,0.361486,1,3,0,2874.42,356.239,5.81161,0.191953,396.546
-2869.8,0.971473,0.361486,2,5,0,2870.07,355.419,5.85876,0.205606,336.211
-2869.29,0.777806,0.361486,3,11,0,2870.35,356.81,5.81337,0.618245,634.095
-2869.53,0.98925,0.361486,2,3,0,2869.53,356.837,6.01057,0.658792,1075.53
