# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# start_datetime = 2022-09-16 08:52:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_4.data.R
# init = 2 (Default)
# random
#   seed = 1286198031 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_4.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_4.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,strength_post_pred
# Adaptation terminated
# Step size = 0.586772
# Diagonal elements of inverse mass matrix:
# 1.15076, 0.379539, 0.539388
-2869.62,0.947802,0.586772,2,7,0,2870.35,356.589,5.88748,0.845989,710.16
-2870.48,0.929228,0.586772,2,7,0,2871.7,357.818,4.6326,1.07988,204.924
-2869.66,0.993987,0.586772,3,7,0,2870.75,356.761,6.15184,0.358741,197.446
-2871.94,0.744071,0.586772,2,3,0,2872.21,354.828,5.46952,0.229913,295.2
-2871.17,0.440948,0.586772,2,3,0,2872.31,354.91,5.59914,0.210018,355.253
-2870.21,0.200834,0.586772,2,5,1,2874.7,356.22,6.26588,0.394899,683.541
-2870.29,0.992601,0.586772,3,7,0,2871.33,358.051,5.54676,1.25033,1001.57
-2869.89,0.992502,0.586772,3,7,0,2870.64,355.875,5.24712,0.715843,514.367
-2870.27,0.911311,0.586772,3,7,0,2871.11,356.266,4.7639,0.820151,142.641
-2871.53,0.720623,0.586772,3,7,0,2872.02,355.92,5.37194,2.7208,366.041
-2869.69,0.986935,0.586772,3,7,0,2871.69,357.574,6.06295,0.564396,1078.23
-2870.1,0.653543,0.586772,2,7,0,2870.56,357.529,5.7735,1.30608,2023.03
-2870.11,0.807929,0.586772,2,7,0,2870.61,357.615,5.42709,1.43902,69.1002
-2868.99,0.600407,0.586772,2,5,1,2870.66,356.471,5.82056,0.210916,425.771
-2869.71,0.53187,0.586772,2,7,0,2869.73,355.534,5.80958,0.252499,354.094
-2869.13,0.392507,0.586772,2,5,1,2870.71,356.421,5.94466,0.173278,475.525
-2869.13,0.000130326,0.586772,1,3,1,2870.12,356.421,5.94466,0.173278,386.37
-2869.13,0.158876,0.586772,3,7,0,2869.66,356.421,5.94466,0.173278,358.041
-2869.44,0.333333,0.586772,2,3,0,2870.72,356.437,6.0468,0.346465,406.274
-2869.25,0.924437,0.586772,2,7,0,2869.67,357.359,5.66296,0.256627,347.519
-2869.5,0.468401,0.586772,2,3,0,2870.38,356.919,5.4326,0.378217,281.867
-2869.5,0.556946,0.586772,1,3,0,2875.79,356.919,5.4326,0.378217,168.009
-2871.09,0.297529,0.586772,2,7,0,2871.98,355.475,5.82335,1.58938,830.816
-2870.69,0.789915,0.586772,3,7,0,2872.05,357.249,5.83211,1.96305,455.852
-2869.32,0.494663,0.586772,2,7,0,2871.1,357.457,5.5494,0.486752,528.849
-2869.67,0.964604,0.586772,3,7,0,2869.85,355.892,5.97431,0.420367,293.779
-2869.84,0.906985,0.586772,3,7,0,2870.84,358.227,5.63136,0.461497,324.318
