# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_2.data.R
# init = 2 (Default)
# random
#   seed = 1286197972 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_2.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_2.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,p_strength,p_strength_m_log,p_strength_sd_log,g_strength,g_strength_m_log,g_strength_sd_log
-2869.46,0.986527,0.404006,3,7,0,2870.26,356.206,5.49421,-0.762564,-0.268948,0.936335,1.14753,-0.558366,-1.25812,-0.201686
-2870.25,0.647967,0.404006,2,7,0,2874.17,356.856,6.36877,-0.687428,-1.21609,-3.2255,-0.329145,-0.0491491,3.31215,-0.452181
-2869.42,0.985515,0.404006,2,3,0,2870.54,357.061,6.00426,-0.599798,0.358159,-1.91081,0.177165,0.119835,1.42358,0.495942
-2870.46,0.65465,0.404006,1,3,0,2871.85,357.495,6.27412,-1.21012,-0.71378,-0.0468428,1.63736,0.455712,5.71729,-1.45688
-2869.88,1,0.404006,2,3,0,2870.47,356.971,5.45858,-1.29329,-0.556639,-1.1342,0.236198,0.0641599,-5.10853,-2.05869
-2869.81,1,0.404006,2,7,0,2870.77,358.156,5.92769,-0.868242,0.782193,1.17238,0.655665,0.995976,1.19297,0.407294
-2869.99,0.727368,0.404006,2,7,0,2871.56,356.767,6.19758,-0.144187,1.36374,0.0993404,-0.910919,-0.115873,1.62519,0.728677
-2870.59,0.985856,0.404006,3,7,0,2870.72,357.715,4.67149,-0.222547,-0.235217,-0.570708,-0.103115,0.649052,-2.21414,-1.47783
-2870.43,0.927631,0.404006,2,3,0,2871.55,358.01,4.92762,0.308655,0.376182,-1.44766,-1.07097,0.881622,-0.586388,0.871772
-2870.39,0.997686,0.404006,3,7,0,2871.04,357.273,4.4877,0.204392,0.871193,-0.476006,0.449265,0.293038,-1.43642,-0.0584916
-2870.44,0.997094,0.404006,3,7,0,2870.68,356.893,4.58829,0.558206,-0.294012,0.752765,-0.243121,-0.0126228,-0.833848,1.20334
-2870.88,0.962572,0.404006,3,7,0,2872.67,358.884,5.66645,-0.332115,0.868106,-2.13325,0.254508,1.58051,0.245692,0.626289
-2870.23,0.977686,0.404006,3,7,0,2871.86,356.942,6.2462,0.0529214,-1.56244,0.010122,-0.165491,0.0247883,1.5778,0.932112
-2870.8,0.967545,0.404006,2,7,0,2872.17,355.272,5.95789,-0.0698481,-1.14389,-1.1438,-0.578751,-1.31079,1.05565,0.924225
-2869.95,0.976999,0.404006,3,7,0,2871.87,357.372,6.22812,-0.489282,1.21347,-1.79037,-0.356435,0.366817,2.15761,0.288353
-2870.58,0.965869,0.404006,2,3,0,2870.75,357.26,6.48582,-0.439373,-0.23053,-0.660163,0.213042,0.275681,2.94825,-0.243775
-2872.22,0.910229,0.404006,3,7,0,2873.44,358.664,4.16067,0.112583,0.41816,1.11326,-1.39711,1.40672,-2.21391,-1.24748
-2871.53,0.976744,0.404006,3,7,0,2873.39,355.341,6.46316,-0.0615979,0.809184,2.0345,-0.845962,-1.25683,2.13059,0.546422
-2870.23,0.459749,0.404006,3,7,0,2872.31,355.947,6.22227,-0.90216,-0.944446,1.8543,1.17397,-0.776241,3.33355,-0.327952
-2869.18,0.788387,0.404006,3,7,0,2870.74,357.19,5.66495,-1.3387,-1.16849,1.35738,0.595961,0.232399,-2.43825,-0.399786
-2869.37,0.95718,0.404006,1,3,0,2869.67,357.554,5.65124,-1.37743,-0.571129,-0.531519,0.00840978,0.525489,-2.93334,-0.565216
-2870.18,0.722687,0.404006,3,7,0,2870.85,356.454,4.6902,0.254643,0.747243,0.506079,-0.766939,-0.362691,-1.0225,0.444738
-2871.14,0.947831,0.404006,2,7,0,2872.69,359.036,5.64968,-0.30978,0.877639,1.58655,-0.935087,1.70227,0.215368,0.632091
-2871.7,0.890133,0.404006,3,7,0,2874.97,358.662,6.29384,0.221172,0.978677,-2.55379,-1.45041,1.40061,1.55821,1.13876
-2869.72,0.998398,0.404006,3,7,0,2872.2,357.122,6.09945,-0.332928,-1.35168,-1.74193,-1.03146,0.168521,1.53028,0.621449
-2869.9,0.970774,0.404006,3,7,0,2871.05,356.358,5.16774,-0.636718,0.0624706,-2.029,0.1727,-0.434937,-2.36273,-1.26305
-2869.54,0.985322,0.404006,3,7,0,2870.2,356.064,5.48404,-0.671266,0.0149398,-1.49983,-0.295561,-0.672775,-1.01325,-0.0744814
-2869.19,0.989305,0.404006,3,7,0,2869.83,357.212,5.63529,-0.693779,-0.743207,-0.966887,-0.123801,0.244425,-0.338097,0.263112
-2869.4,0.992666,0.404006,3,7,0,2869.63,357.469,5.56453,-0.401212,-0.516431,-0.0949744,-0.364823,0.449142,-0.137153,0.448814
-2869.88,0.976619,0.404006,2,3,0,2869.93,357.933,5.76696,-0.201472,0.196784,0.0123638,0.26742,0.819125,0.597303,0.798289
-2870.29,0.997055,0.404006,3,7,0,2870.99,356.942,5.20568,0.624606,0.806759,0.969459,0.0911663,0.0260768,0.0130325,1.73807
-2869.22,0.999679,0.404006,3,7,0,2870.77,356.947,6.0033,-1.28813,-0.0267145,-0.0713086,-1.9916,0.0251916,2.65613,0.0680073
-2869.52,0.87795,0.404006,4,15,0,2872.37,356.372,5.75041,-0.250831,1.85255,-1.39441,0.21186,-0.429737,0.543034,0.752114
-2869.62,0.966429,0.404006,2,7,0,2871.54,356.897,5.33587,0.108008,0.976403,-1.82571,0.958406,-0.0092988,-0.100487,0.877736
-2869.84,0.989947,0.404006,3,7,0,2870.18,357.772,5.25055,-0.0281187,0.597154,-0.0631586,-0.488774,0.691021,-0.415201,0.553286
-2871.74,0.924055,0.404006,2,3,0,2872.08,357.166,5.13385,1.20677,-0.623587,-0.221932,-0.433229,0.204529,0.0672327,3.2931
