# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_4.data.R
# init = 2 (Default)
# random
#   seed = 1286198031 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_4.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_4.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,p_strength,p_strength_m_log,p_strength_sd_log,g_strength,g_strength_m_log,g_strength_sd_log
-2869.62,0.947802,0.586772,2,7,0,2870.35,356.589,5.88748,-0.167249,-0.234328,-1.59321,-0.904377,-0.2573,0.902714,0.845823
-2870.48,0.929228,0.586772,2,7,0,2871.7,357.818,4.6326,0.0768512,0.61421,-2.27954,0.28282,0.729636,-1.4371,-0.254492
-2869.66,0.993987,0.586772,3,7,0,2870.75,356.761,6.15184,-1.02516,0.867624,-0.723087,-1.44083,-0.125469,3.28694,-0.227936
-2871.94,0.744071,0.586772,2,3,0,2872.21,354.828,5.46952,-1.47005,0.638153,-0.425878,-0.0442445,-1.64466,-7.1375,-2.82894
-2871.17,0.440948,0.586772,2,3,0,2872.31,354.91,5.59914,-1.56056,-0.586197,-2.22028,-0.147147,-1.58288,-5.584,-1.47627
-2870.21,0.200834,0.586772,2,5,1,2874.7,356.22,6.26588,-0.929125,2.10421,1.88812,2.16585,-0.559314,3.76888,-0.582097
-2870.29,0.992601,0.586772,3,7,0,2871.33,358.051,5.54676,0.223408,1.19023,0.797119,0.621105,0.913264,0.333162,1.17901
-2869.89,0.992502,0.586772,3,7,0,2870.64,355.875,5.24712,-0.334294,0.501391,-1.6749,-0.521632,-0.824881,-0.977367,-0.0524747
-2870.27,0.911311,0.586772,3,7,0,2871.11,356.266,4.7639,-0.198266,0.670516,0.501868,1.4065,-0.510732,-1.88893,-1.01743
-2871.53,0.720623,0.586772,3,7,0,2872.02,355.92,5.37194,1.00093,-0.203754,-1.34234,-0.670548,-0.792088,0.304024,2.68665
